DC,U
AF,R
BE,N
BD,L
AA,N
AD,R
BE,L
AF,D
DE,N
DF,N
DE,U
AD,D
DE,N
DE,U
AE,N
AF,D
DE,N
DD,N
DE,R
EF,N
EF,U
BC,N
BC,L
AC,N
AF,N
AE,N
AF,N
AF,D
DE,R
EF,R
FE,U
CD,N
CA,L
BD,R
CE,D
FF,L
EE,L
DF,U
AC,R
BC,D
EC,R
FC,U
CC,D
FF,N
FE,N
FE,U
CD,L
BE,L
AE,N
AF,R
BE,R
CE,L
BE,R
CE,L
BD,L
AE,R
BD,L
AE,R
BD,D
EE,R
FE,L
ED,L
DE,R
ED,L
DE,R
EF,L
DC,R
EF,L
DC,U
AC,R
BC,D
EC,N
EF,N
EC,U
BF,D
EC,U
BC,D
EC,R
FF,N
FC,L
EC,L
DF,R
EC,R
FF,U
CE,D
FF,N
FE,L
ED,L
DE,R
ED,N
EE,U
BF,D
EC,L
DC,N
DC,N
DC,N
DF,R
EF,R
FC,U
CC,N
CF,L
BC,R
CF,N
CE,D
FF,L
EE,L
DE,R
ED,N
EE,U
BD,R
CA,N
CA,N
CA,L
BA,R
CA,L
BA,N
BD,D
EE,N
EF,R
FC,U
CC,L
BC,N
BC,D
EC,L
DF,R
EC,N
EC,R
FC,U
CC,D
FC,N
FC,N
FF,N
FC,N
FC,L
EC,L
DC,R
EC,R
FF,U
CC,D
FC,L
EF,U
BC,D
EC,R
FC,U
CF,L
BC,N
BC,L
AC,R
BC,R
CC,L
BC,N
BF,L
AE,N
AD,R
BA,N
BA,R
CD,L
BE,N
BD,R
CE,L
BE,D
EE,L
DF,R
EC,U
BF,L
AF,N
AE,R
BD,N
BA,L
AA,N
AA,N
AA,R
BA,D
EA,R
FA,U
CD,L
BD,D
EA,N
EA,R
FA,U
CA,L
BD,L
AA,R
BD,N
BE,D
ED,N
EE,U
BE,D
ED,N
EE,R
FF,U
CE,N
CE,D
FE,U
CF,L
BE,D
EE,U
BF,R
CC,D
FC,N
FF,L
EC,U
BF,D
EC,L
DC,U
AC,D
DC,R
EC,R
FF,N
FE,N
FD,L
EE,N
EE,R
FE,U
CD,L
BE,N
BD,N
BA,L
AA,D
DA,U
AA,N
AA,D
DD,N
DE,R
EF,N
EC,N
EC,U
BF,R
CE,L
BE,L
AD,N
AE,R
BD,R
CE,L
BD,N
BE,L
AF,N
AC,D
DC,R
EF,U
BE,D
EF,R
FE,L
EE,L
DD,N
DA,U
AA,D
DD,U
AE,N
AD,N
AA,N
AA,N
AD,D
DA,R
EA,N
EA,U
BD,R
CD,N
CE,L
BE,D
ED,R
FA,U
CA,D
FA,N
FA,U
CA,N
CA,D
FD,N
FE,U
CD,N
CA,L
BA,D
EA,U
BA,L
AD,N
AE,N
AF,R
BC,D
EF,U
BE,R
CE,D
FF,U
CE,D
FE,L
EF,N
EC,R
FF,N
FF,N
FF,N
FF,L
EE,R
FE,L
ED,L
DA,R
ED,L
DE,N
DD,N
DD,R
EE,L
DD,R
EA,N
EA,N
ED,N
EA,U
BA,D
EA,L
DA,R
EA,R
FD,N
FE,U
CF,N
CE,N
CE,D
FE,N
FE,N
FE,U
CF,L
BE,N
BE,N
BF,N
BC,L
AF,R
BC,N
BF,N
BC,N
BC,N
BC,D
EC,U
BC,D
EC,R
FC,U
CC,L
BC,L
AF,N
AE,N
AF,R
BE,D
ED,U
BE,D
EF,R
FC,L
EC,U
BC,N
BC,N
BC,R
CC,D
FC,N
FF,N
FC,U
CC,D
FC,L
EF,N
EE,R
FE,U
CD,N
CE,D
FE,L
EE,N
ED,L
DA,R
ED,R
FA,U
CA,N
CD,L
BA,N
BA,N
BD,L
AA,R
BA,L
AA,R
BA,R
CD,D
FA,N
FD,N
FA,U
CA,L
BD,R
CA,L
BA,D
EA,L
DD,R
ED,U
BE,D
EE,L
DE,U
AD,N
AE,R
BE,N
BD,L
AE,D
DD,R
EA,N
ED,R
FA,L
EA,N
ED,L
DD,R
EE,N
ED,U
BE,R
CF,L
BE,N
BE,L
AE,D
DF,U
AE,N
AE,N
AE,N
AE,N
AE,N
AD,R
BE,L
AF,R
BC,R
CC,N
CF,D
FC,L
EC,U
BC,D
EF,N
EE,N
ED,N
EA,U
BA,N
BA,D
ED,N
EA,N
ED,L
DA,U
AA,N
AA,N
AD,D
DD,R
EA,L
DD,N
DE,R
ED,U
BA,R
CA,D
FD,L
ED,L
DD,R
EE,R
FF,L
EE,N
EE,N
ED,N
EA,R
FD,N
FA,N
FA,N
FA,L
ED,L
DA,U
AD,D
DA,U
AA,D
DD,U
AA,D
DA,U
AA,R
BA,L
AD,R
BE,L
AE,D
DE,N
DF,U
AE,R
BE,R
CE,L
BE,D
EF,L
DC,N
DF,N
DE,R
ED,N
EE,U
BF,D
EE,L
DD,U
AE,N
AF,D
DF,U
AC,R
BF,N
BE,N
BE,D
EE,N
EE,L
DE,U
AF,D
DC,U
AC,N
AC,D
DC,U
AF,D
DC,U
AF,D
DC,R
EF,R
FE,L
EE,L
DF,N
DC,U
AC,N
AC,R
BF,N
BE,L
AE,N
AE,D
DD,R
EA,R
FA,L
ED,R
FA,N
FA,N
FA,U
CD,N
CE,L
BE,R
CF,N
CE,N
CF,N
CE,L
BD,R
CA,N
CD,N
CE,N
CE,N
CD,L
BE,L
AD,N
AD,D
DE,N
DE,R
ED,L
DE,R
ED,L
DE,R
ED,N
EA,N
EA,U
BA,D
EA,L
DA,R
EA,U
BD,D
EA,R
FA,N
FD,L
EA,L
DA,N
DD,U
AA,N
AA,D
DD,N
DA,N
DD,U
AE,N
AF,D
DC,N
DF,N
DC,N
DC,N
DC,U
AF,D
DE,N
DF,N
DE,R
EF,L
DF,N
DE,R
EE,L
DD,U
AE,N
AE,D
DF,R
EE,N
EF,U
BE,N
BE,N
BF,N
BC,N
BF,L
AE,N
AE,N
AD,R
BE,N
BF,L
AC,N
AC,R
BF,L
AE,R
BE,N
BE,D
ED,R
FE,U
CD,D
FE,L
EF,R
FC,U
CC,L
BC,R
CF,L
BC,N
BF,L
AF,D
DC,N
DF,R
EC,N
EC,R
FF,L
EE,R
FE,N
FD,L
ED,N
ED,U
BE,D
ED,R
FE,L
ED,N
EA,N
EA,R
FA,U
CD,N
CD,D
FE,N
FD,L
EE,N
ED,R
FA,L
ED,R
FE,L
ED,U
BE,N
BE,L
AF,R
BE,L
AF,N
AC,D
DC,R
EC,N
EC,U
BC,D
EF,N
EE,N
ED,N
EA,L
DD,R
EA,N
EA,N
EA,N
EA,N
ED,L
DA,N
DD,U
AD,D
DA,R
EA,L
DA,N
DA,N
DD,N
DE,N
DD,R
EE,L
DF,U
AE,N
AE,D
DE,N
DF,R
EE,N
ED,L
DA,N
DA,R
ED,R
FD,U
CE,D
FE,L
EE,N
EE,N
EF,L
DC,R
EF,N
EE,L
DE,N
DF,N
DF,R
EF,L
DE,U
AF,N
AF,D
DE,N
DE,N
DD,R
EA,N
ED,U
BE,L
AF,D
DC,U
AC,D
DC,R
EF,L
DE,R
ED,L
DA,N
DA,U
AD,D
DA,N
DA,R
EA,R
FA,U
CA,L
BD,L
AE,D
DE,R
EE,N
EE,N
EE,N
EE,U
BE,N
BD,D
EE,N
ED,N
EE,R
FE,U
CE,L
BD,D
EA,U
BD,R
CA,N
CD,D
FD,L
EE,N
EF,R
FE,U
CF,L
BE,N
BE,L
AF,R
BC,R
CC,N
CC,D
FF,L
EC,R
FF,N
FC,L
EC,R
FF,N
FE,U
CE,N
CF,L
BC,D
EF,U
BE,D
EE,U
BE,D
ED,N
EA,R
FD,N
FA,L
ED,N
EA,N
ED,R
FA,L
EA,L
DA,R
EA,L
DD,R
EA,N
EA,U
BA,R
CD,D
FE,U
CE,D
FE,U
CE,D
FF,U
CC,N
CC,D
FF,N
FC,L
EF,N
EE,U
BF,R
CE,N
CE,D
FE,L
ED,U
BE,N
BE,R
CD,N
CE,N
CE,D
FD,N
FA,U
CD,L
BE,R
CE,L
BE,R
CE,N
CE,L
BF,L
AC,N
AC,N
AF,D
DE,R
EE,L
DE,N
DE,R
ED,U
BE,D
EE,R
FE,N
FF,N
FE,L
EF,N
EC,U
BF,L
AE,D
DD,U
AD,R
BE,N
BE,N
BD,D
EE,R
FE,U
CE,N
CF,N
CC,N
CC,L
BF,D
EC,R
FF,N
FC,U
CF,L
BE,N
BE,L
AF,N
AE,D
DE,N
DE,N
DD,U
AA,R
BA,R
CD,D
FE,N
FD,U
CA,L
BD,N
BE,N
BD,L
AD,R
BD,L
AA,R
BA,N
BD,N
BE,R
CD,N
CE,L
BF,N
BC,N
BC,D
EF,N
EF,L
DC,N
DF,N
DE,N
DE,U
AE,R
BD,L
AA,R
BD,D
EA,N
EA,U
BA,N
BA,D
EA,N
ED,L
DA,N
DA,U
AA,N
AA,D
DA,U
AD,D
DE,N
DD,R
EA,R
FA,L
EA,U
BA,R
CA,N
CA,L
BA,L
AD,R
BE,N
BF,D
EE,R
FF,N
FE,L
EF,N
EE,L
DD,N
DD,N
DE,N
DD,R
EE,U
BF,L
AC,N
AC,N
AF,R
BE,R
CD,N
CE,N
CF,L
BC,L
AC,N
AF,D
DE,N
DD,U
AD,R
BE,D
ED,R
FE,L
ED,L
DD,U
AA,R
BD,L
AA,N
AA,R
BD,D
EE,R
FE,U
CF,D
FE,L
EE,U
BF,R
CC,L
BF,N
BE,N
BF,N
BC,R
CC,L
BC,N
BF,D
EE,R
FE,U
CD,D
FA,U
CA,D
FA,N
FA,L
ED,L
DE,N
DE,R
EE,L
DE,U
AE,D
DE,R
EE,R
FD,L
ED,R
FE,N
FE,L
EE,R
FF,N
FC,N
FF,U
CC,L
BC,L
AF,D
DE,U
AF,R
BE,L
AD,D
DE,R
EE,U
BE,R
CF,D
FC,U
CF,N
CC,L
BC,N
BC,N
BC,N
BC,R
CC,L
BF,D
EF,U
BC,D
EC,R
FC,U
CC,D
FC,U
CC,L
BF,L
AE,R
BF,L
AE,N
AF,N
AE,D
